Episode,Score,Average_Score
608,161.1184521329987,164.80838698775418
609,2.574985264450447,162.43504164078925
610,257.5281368874844,162.52450719680462
611,178.35385611756746,161.65221460128663
612,219.3921917509895,161.89304651991645
613,249.16172285971743,162.02670576739536
614,-80.70596992585241,159.06486224679804
615,159.98577001976744,161.2479434564904
616,175.03843851967883,160.06357857269208
617,-129.0475261263098,156.86252173476313
618,267.5126577723547,157.33988882687933
619,258.70564958768705,157.59924265286156
620,252.94389932459833,158.3143062074116
621,191.22578655787203,158.11100549573533
622,-168.53569943320838,157.1645853763867
623,278.25119013334825,161.06573435905955
624,-196.0044246021597,160.61008934583617
625,193.1163086015208,160.78871004603562
626,159.81603947355097,162.45801306596434
627,268.4029381139252,163.19352979810984
628,281.96558143503114,164.15572913914198
629,239.55204546883525,167.42814761237685
630,168.0857004377367,167.40291210416532
631,271.4986734381049,168.02004042672036
632,273.8484927378488,171.84292634488793
633,266.3009428895958,172.41084576718754
634,253.57101879419577,172.9928260895459
635,263.8907597574596,173.9109992643516
636,120.6895464919831,176.7327674396709
637,283.1463622662967,177.271485987423
638,178.75085942641275,176.84289022905133
639,253.5483841157814,176.73684751407086
640,-32.53488991844138,173.7465781733863
641,224.0649324324653,177.22078495473193
642,109.32524276516088,177.1122564385441
643,260.43200169556087,177.33029340652269
644,-2.1471802157419404,174.65226902538546
645,260.2408820257234,177.22970523862358
646,138.46314254143738,176.17671569322047
647,250.62521273239108,176.58327289091915
648,282.34097763467605,177.07050372311863
649,265.430076129241,177.08138001863543
650,261.7295536482551,176.72794921425938
651,-67.44314826811416,173.53784984801638
652,220.80710889531207,173.1448324702728
653,269.6441399531894,173.1441511284934
654,-15.086638661816508,171.48387725320464
655,277.5073978632352,172.7177543288354
656,201.10818538121234,175.44825261845565
657,251.43566500905894,175.127979734165
658,274.20008970617897,176.3225223708814
659,252.87568079969012,180.17211626605288
660,231.99070079912823,181.15926566953112
661,152.38466105001527,181.0075943383056
662,248.28090440790515,181.50649573434384
663,192.51032493998733,181.71307660894053
664,252.0553498150963,182.19527678069682
665,173.51315855624955,181.98780798825155
666,238.3918903560756,182.83071928368267
667,235.66257366229084,183.21212045134473
668,284.3004763852754,183.9886848125414
669,264.5586653584678,183.8186507463474
670,248.95207656419345,183.6445727397188
671,235.33643538575848,183.54432405064134
672,178.23192631495928,183.65597905674113
673,216.24294011084822,186.81207702247374
674,198.31550092888392,186.0810528533109
675,196.97117852219444,185.97430870282355
676,121.68309437521786,185.77370289294532
677,-27.04887688628854,183.2175725122927
678,175.11018411431013,183.32640512856946
679,265.38177699490257,183.2671364103102
680,273.0011043313027,187.26206249964082
681,229.76106567557002,186.96086519488276
682,4.998370818081128,187.70482796355532
683,271.0742217346608,188.89578702017397
684,235.7101829482681,188.90875816540583
685,250.88527237830257,189.34462148347325
686,262.0098236715404,190.57318274769352
687,-36.804120885832845,187.70076542397794
688,214.51393608227565,191.01857479124712
689,271.6955239167591,192.11494270529474
690,270.4042135397304,193.07468393961665
691,202.45056729689682,193.62858010012246
692,288.6715589934653,193.7032345933137
693,249.40990024189753,193.55529143328832
694,203.84000027468358,196.26183379692185
695,259.73172138347206,196.2127611292566
696,228.3349353976043,195.64274930383633
697,299.13616099705234,196.682557364503
698,279.0051170218516,196.97890151635937
699,188.55002354308408,196.31767784475937
700,231.80952553867195,195.6711348834272
701,233.0516786049966,195.22171903049755
702,-150.93521954577784,191.36417604710664
703,242.10131648120526,192.65309295213837
704,231.63365029622685,192.3809611240367
705,136.86771297003054,191.35325232054504
706,240.97552697203756,191.78330110514932
707,183.61337492139995,191.1502328979286
708,283.88347209441474,192.37788309754276
709,245.3971314086201,194.80610455898443
710,223.73463884973933,194.46816957860702
711,198.8196721112039,194.6728277385434
712,128.57931548021065,193.76469897583564
713,233.00817240408307,193.6031634712793
714,263.2481397761402,197.04270456829923
715,280.77902466114443,198.25063711471302
716,259.4194190310109,199.09444691982628
717,175.90940869420487,202.14401626803144
718,271.75766854679375,202.18646637577586
719,244.4328074002194,202.04373795390117
720,202.6420747044537,201.5407197076997
721,165.9022740870555,201.28748458299157
722,212.9138688715862,205.1019802660395
723,170.3540107026973,204.02300847173302
724,-44.43050637139602,205.53874765404066
725,281.94149852482303,206.42699955327367
726,9.518459176596139,204.92402375030412
727,275.1808214978562,204.99180258414341
728,247.76631902044633,204.64980995999758
729,251.9506764527285,204.77379626983654
730,257.2726966479904,205.66566623193904
731,255.95439876160452,205.51022348517404
732,286.6767526522274,205.6385060843178
733,226.2151580234177,205.23764823565602
734,224.20454385250517,204.94398348623912
735,180.0907807403147,204.10598369606768
736,265.2985418786272,205.55207364993413
737,226.03222348390423,204.98093226211023
